scenario,seed,fold,model,selected_threshold,train_seconds_including_inner_cv,predict_seconds,policy,ap,roc_auc,brier,log_loss,f1,precision,recall,mcc,tn,fp,fn,tp,fnr,fpr,rows,positives,unique_scores,recall_at_1pct,precision_at_1pct,lift_at_1pct,recall_at_3pct,precision_at_3pct,lift_at_3pct,recall_at_5pct,precision_at_5pct,lift_at_5pct,recall_at_10pct,precision_at_10pct,lift_at_10pct,recall_at_20pct,precision_at_20pct,lift_at_20pct
rg3,1729,1,logistic_balanced,0.8479411241284703,0.014439658000355848,0.0005172399996808963,fixed_0.5,0.024126690262962748,0.49704688076781095,0.23045999336348622,0.6752161246625323,0.027972027972027972,0.014705882352941176,0.2857142857142857,-0.016821318670560845,253,134,5,2,0.7142857142857143,0.3462532299741602,394,7,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.025,1.407142857142857,0.2857142857142857,0.02531645569620253,1.4249547920433996
rg3,1729,1,logistic_balanced,0.8479411241284703,0.014439658000355848,0.0005172399996808963,inner_f1,0.024126690262962748,0.49704688076781095,0.23045999336348622,0.6752161246625323,0.06060606060606061,0.038461538461538464,0.14285714285714285,0.041640964009206013,362,25,6,1,0.8571428571428571,0.06459948320413436,394,7,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.025,1.407142857142857,0.2857142857142857,0.02531645569620253,1.4249547920433996
rg3,1729,1,xgboost,0.01987205259501934,0.03939592200003972,0.0007580700003018137,fixed_0.5,0.01485667482638733,0.35825027685492794,0.018026121455677332,0.09929438608562467,0.0,0.0,0.0,0.0,387,0,7,0,1.0,0.0,394,7,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rg3,1729,1,xgboost,0.01987205259501934,0.03939592200003972,0.0007580700003018137,inner_f1,0.01485667482638733,0.35825027685492794,0.018026121455677332,0.09929438608562467,0.02030456852791878,0.010526315789473684,0.2857142857142857,-0.05289357237994413,199,188,5,2,0.7142857142857143,0.48578811369509045,394,7,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rg3,1729,1,xgboost_balanced,0.6998082995414734,0.051157207999949605,0.001381426000079955,fixed_0.5,0.01945895215947832,0.41435954226651894,0.05717394475255811,0.2200563440092329,0.0,0.0,0.0,-0.031100884057415703,367,20,7,0,1.0,0.05167958656330749,394,7,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.02531645569620253,1.4249547920433996
rg3,1729,1,xgboost_balanced,0.6998082995414734,0.051157207999949605,0.001381426000079955,inner_f1,0.01945895215947832,0.41435954226651894,0.05717394475255811,0.2200563440092329,0.0,0.0,0.0,-0.013620442892440467,383,4,7,0,1.0,0.0103359173126615,394,7,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.02531645569620253,1.4249547920433996
rg3,1729,2,dummy_prior,0.5,0.000223387999994884,7.587900017824722e-05,fixed_0.5,0.017766497461928935,0.5,0.017476616248808266,0.08983887272248706,0.0,0.0,0.0,0.0,387,0,7,0,1.0,0.0,394,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.05,2.814285714285714,0.14285714285714285,0.025,1.407142857142857,0.14285714285714285,0.012658227848101266,0.7124773960216998
rg3,1729,2,dummy_prior,0.5,0.000223387999994884,7.587900017824722e-05,inner_f1,0.017766497461928935,0.5,0.017476616248808266,0.08983887272248706,0.0,0.0,0.0,0.0,387,0,7,0,1.0,0.0,394,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.05,2.814285714285714,0.14285714285714285,0.025,1.407142857142857,0.14285714285714285,0.012658227848101266,0.7124773960216998
rg3,1729,2,logistic,0.07793550616945477,0.012677102999987255,0.000578666999899724,fixed_0.5,0.014542976740822625,0.340531561461794,0.018393341460730173,0.10804663773397248,0.0,0.0,0.0,0.0,387,0,7,0,1.0,0.0,394,7,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rg3,1729,2,logistic,0.07793550616945477,0.012677102999987255,0.000578666999899724,inner_f1,0.014542976740822625,0.340531561461794,0.018393341460730173,0.10804663773397248,0.0,0.0,0.0,-0.021703407528853153,377,10,7,0,1.0,0.025839793281653745,394,7,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
