scenario,seed,model,product_group,policy,ap,roc_auc,brier,log_loss,f1,precision,recall,mcc,tn,fp,fn,tp,fnr,fpr,rows,positives,unique_scores,recall_at_1pct,precision_at_1pct,lift_at_1pct,recall_at_3pct,precision_at_3pct,lift_at_3pct,recall_at_5pct,precision_at_5pct,lift_at_5pct,recall_at_10pct,precision_at_10pct,lift_at_10pct,recall_at_20pct,precision_at_20pct,lift_at_20pct
pooled,1729,logistic_balanced,rg3,inner_f1,0.03365734149989632,0.4939152981849611,0.2634930308714067,0.750524203467261,0.0,0.0,0.0,-0.010499661286390264,1151,6,25,0,1.0,0.005185825410544511,1182,25,594,0.04,0.08333333333333333,3.94,0.04,0.027777777777777776,1.3133333333333332,0.04,0.016666666666666666,0.788,0.12,0.025210084033613446,1.1919327731092437,0.28,0.029535864978902954,1.3964556962025316
pooled,1729,xgboost,all,fixed_0.5,0.11783823259263836,0.7170099856190881,0.016716762770856063,0.08106980480048252,0.0,0.0,0.0,0.0,2351,0,42,0,1.0,0.0,2393,42,1197,0.11904761904761904,0.20833333333333334,11.870039682539684,0.23809523809523808,0.1388888888888889,7.913359788359789,0.2857142857142857,0.1,5.697619047619048,0.3333333333333333,0.058333333333333334,3.3236111111111115,0.5,0.04384133611691023,2.4979123173277666
pooled,1729,xgboost,all,inner_f1,0.11783823259263836,0.7170099856190881,0.016716762770856063,0.08106980480048252,0.17699115044247787,0.14084507042253522,0.23809523809523808,0.16418418572396448,2290,61,32,10,0.7619047619047619,0.025946405784772437,2393,42,1197,0.11904761904761904,0.20833333333333334,11.870039682539684,0.23809523809523808,0.1388888888888889,7.913359788359789,0.2857142857142857,0.1,5.697619047619048,0.3333333333333333,0.058333333333333334,3.3236111111111115,0.5,0.04384133611691023,2.4979123173277666
pooled,1729,xgboost,cn7,fixed_0.5,0.2664161160326589,0.9504138338752587,0.012478298626173728,0.051316596397107506,0.0,0.0,0.0,0.0,1194,0,17,0,1.0,0.0,1211,17,606,0.11764705882352941,0.15384615384615385,10.959276018099548,0.4117647058823529,0.1891891891891892,13.476947535771066,0.5882352941176471,0.16393442622950818,11.67791706846673,0.7647058823529411,0.10655737704918032,7.5906460945033745,1.0,0.06995884773662552,4.983539094650205
pooled,1729,xgboost,cn7,inner_f1,0.2664161160326589,0.9504138338752587,0.012478298626173728,0.051316596397107506,0.29411764705882354,0.19607843137254902,0.5882352941176471,0.324445312460716,1153,41,7,10,0.4117647058823529,0.03433835845896147,1211,17,606,0.11764705882352941,0.15384615384615385,10.959276018099548,0.4117647058823529,0.1891891891891892,13.476947535771066,0.5882352941176471,0.16393442622950818,11.67791706846673,0.7647058823529411,0.10655737704918032,7.5906460945033745,1.0,0.06995884773662552,4.983539094650205
pooled,1729,xgboost,rg3,fixed_0.5,0.017598004967581543,0.37892826274848745,0.021059216306566986,0.11155299885842428,0.0,0.0,0.0,0.0,1157,0,25,0,1.0,0.0,1182,25,591,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.016666666666666666,0.788,0.04,0.008403361344537815,0.3973109243697479,0.2,0.02109704641350211,0.9974683544303797
pooled,1729,xgboost,rg3,inner_f1,0.017598004967581543,0.37892826274848745,0.021059216306566986,0.11155299885842428,0.0,0.0,0.0,-0.019284805304063662,1137,20,25,0,1.0,0.01728608470181504,1182,25,591,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.016666666666666666,0.788,0.04,0.008403361344537815,0.3973109243697479,0.2,0.02109704641350211,0.9974683544303797
pooled,1729,xgboost_balanced,all,fixed_0.5,0.06786050958341441,0.7364647262563043,0.04601570029786915,0.17089840445057392,0.13333333333333333,0.09259259259259259,0.23809523809523808,0.12424000253054714,2253,98,32,10,0.7619047619047619,0.04168438962143769,2393,42,1197,0.11904761904761904,0.20833333333333334,11.870039682539684,0.11904761904761904,0.06944444444444445,3.9566798941798944,0.2619047619047619,0.09166666666666666,5.22281746031746,0.30952380952380953,0.05416666666666667,3.0862103174603175,0.5238095238095238,0.04592901878914405,2.616860522914803
pooled,1729,xgboost_balanced,all,inner_f1,0.06786050958341441,0.7364647262563043,0.04601570029786915,0.17089840445057392,0.10344827586206896,0.1875,0.07142857142857142,0.10618306685289794,2338,13,39,3,0.9285714285714286,0.00552956188855806,2393,42,1197,0.11904761904761904,0.20833333333333334,11.870039682539684,0.11904761904761904,0.06944444444444445,3.9566798941798944,0.2619047619047619,0.09166666666666666,5.22281746031746,0.30952380952380953,0.05416666666666667,3.0862103174603175,0.5238095238095238,0.04592901878914405,2.616860522914803
pooled,1729,xgboost_balanced,cn7,fixed_0.5,0.1571183176459204,0.9303625973002266,0.030084422587930707,0.10592410804448646,0.2608695652173913,0.17307692307692307,0.5294117647058824,0.28633928735357195,1151,43,8,9,0.47058823529411764,0.036013400335008376,1211,17,606,0.23529411764705882,0.3076923076923077,21.918552036199095,0.23529411764705882,0.10810810810810811,7.7011128775834665,0.5882352941176471,0.16393442622950818,11.67791706846673,0.7647058823529411,0.10655737704918032,7.5906460945033745,0.9411764705882353,0.06584362139917696,4.690389736141371
pooled,1729,xgboost_balanced,cn7,inner_f1,0.1571183176459204,0.9303625973002266,0.030084422587930707,0.10592410804448646,0.16,0.25,0.11764705882352941,0.16355800131045334,1188,6,15,2,0.8823529411764706,0.005025125628140704,1211,17,606,0.23529411764705882,0.3076923076923077,21.918552036199095,0.23529411764705882,0.10810810810810811,7.7011128775834665,0.5882352941176471,0.16393442622950818,11.67791706846673,0.7647058823529411,0.10655737704918032,7.5906460945033745,0.9411764705882353,0.06584362139917696,4.690389736141371
pooled,1729,xgboost_balanced,rg3,fixed_0.5,0.031161315342679775,0.4908038029386344,0.06233784691947275,0.237466824880161,0.024691358024691357,0.017857142857142856,0.04,-0.005104539878530961,1102,55,24,1,0.96,0.04753673292999136,1182,25,591,0.04,0.08333333333333333,3.94,0.04,0.027777777777777776,1.3133333333333332,0.04,0.016666666666666666,0.788,0.08,0.01680672268907563,0.7946218487394958,0.16,0.016877637130801686,0.7979746835443038
pooled,1729,xgboost_balanced,rg3,inner_f1,0.031161315342679775,0.4908038029386344,0.06233784691947275,0.237466824880161,0.06060606060606061,0.125,0.04,0.059579350163684874,1150,7,24,1,0.96,0.006050129645635264,1182,25,591,0.04,0.08333333333333333,3.94,0.04,0.027777777777777776,1.3133333333333332,0.04,0.016666666666666666,0.788,0.08,0.01680672268907563,0.7946218487394958,0.16,0.016877637130801686,0.7979746835443038
pooled,2026,dummy_prior,all,fixed_0.5,0.015074388555685714,0.4111573595835612,0.01729168538792141,0.08968785749783488,0.0,0.0,0.0,0.0,2351,0,42,0,1.0,0.0,2393,42,3,0.0,0.0,0.0,0.023809523809523808,0.013888888888888888,0.7913359788359788,0.047619047619047616,0.016666666666666666,0.9496031746031747,0.07142857142857142,0.0125,0.712202380952381,0.11904761904761904,0.010438413361169102,0.5947410279351825
pooled,2026,dummy_prior,all,inner_f1,0.015074388555685714,0.4111573595835612,0.01729168538792141,0.08968785749783488,0.0,0.0,0.0,0.0,2351,0,42,0,1.0,0.0,2393,42,3,0.0,0.0,0.0,0.023809523809523808,0.013888888888888888,0.7913359788359788,0.047619047619047616,0.016666666666666666,0.9496031746031747,0.07142857142857142,0.0125,0.712202380952381,0.11904761904761904,0.010438413361169102,0.5947410279351825
pooled,2026,dummy_prior,cn7,fixed_0.5,0.011715655567497579,0.3419548724012218,0.013895703067678566,0.07534788408879424,0.0,0.0,0.0,0.0,1194,0,17,0,1.0,0.0,1211,17,3,0.0,0.0,0.0,0.058823529411764705,0.02702702702702703,1.9252782193958666,0.058823529411764705,0.01639344262295082,1.1677917068466732,0.058823529411764705,0.00819672131147541,0.5838958534233366,0.058823529411764705,0.00411522633744856,0.29314935850883567
